entryid,customerid
5.0,21177
5.0,21182
5.0,21185
5.0,21186
5.0,21181
5.0,21189
5.0,21190
5.0,21191
5.0,21187
5.0,21195
5.0,21201
5.0,21202
5.0,21192
5.0,21217
5.0,21218
5.0,21235
5.0,21206
5.0,21238
5.0,21245
5.0,21248
5.0,21236
5.0,21265
104.0,27857
5.0,21255
104.0,28330
104.0,28244
104.0,27376
104.0,27209
104.0,28283
104.0,28248
104.0,28259
104.0,28306
104.0,28287
104.0,28290
104.0,28292
5.0,21287
104.0,28313
104.0,28329
5.0,21286
5.0,21298
5.0,21294
5.0,21296
5.0,21297
5.0,21305
5.0,21299
5.0,21313
5.0,21302
5.0,21304
5.0,21324
5.0,21325
5.0,21321
5.0,21322
5.0,21335
5.0,21331
5.0,21334
5.0,21343
5.0,21338
5.0,21339
5.0,21341
5.0,21352
5.0,21344
5.0,21345
5.0,21346
5.0,21363
5.0,21353
5.0,21365
5.0,21358
5.0,21362
5.0,21372
5.0,21373
5.0,21369
164.0,21373
5.0,21370
5.0,21375
5.0,21376
5.0,21377
5.0,21374
5.0,21379
5.0,21384
2.0,21384
5.0,21378
5.0,21386
5.0,21387
5.0,21388
5.0,21389
5.0,21390
5.0,21391
5.0,21393
5.0,21394
5.0,21395
5.0,21397
2.0,27510
104.0,27718
104.0,27729
104.0,27510
104.0,27283
104.0,27802
104.0,27265
104.0,28031
104.0,27803
104.0,27665
5.0,11630
5.0,29309
104.0,27740
104.0,28154
104.0,27688
104.0,27270
104.0,27930
104.0,27499
104.0,28083
104.0,27977
104.0,27433
2.0,27433
104.0,28269
104.0,27012
104.0,27077
104.0,27184
104.0,27214
104.0,27246
104.0,27327
104.0,27501
104.0,27627
104.0,27766
104.0,27791
104.0,27911
104.0,27950
104.0,28028
104.0,28113
104.0,28114
104.0,27951
104.0,28233
104.0,28130
104.0,28255
104.0,28314
144.0,32470
1.0,32808
5.0,35083
104.0,36434
104.0,36435
104.0,36614
5.0,36531
104.0,36583
5.0,32765
144.0,33679
5.0,36527
144.0,27336
5.0,37951
5.0,38032
1.0,38414
104.0,38678
5.0,38734
1.0,39228
1.0,39257
5.0,39452
1.0,39516
5.0,39528
104.0,39477
104.0,27724
104.0,29446
104.0,27006
1.0,29574
1.0,32834
104.0,29313
5.0,29541
144.0,36426
2.0,29541
144.0,32556
5.0,35040
104.0,40828
5.0,31424
1.0,32820
104.0,38481
5.0,55345
144.0,55557
144.0,55825
104.0,55970
144.0,56456
5.0,56556
144.0,56457
1.0,56461
5.0,56818
144.0,56997
104.0,57096
5.0,58121
5.0,58482
104.0,58201
5.0,58152
144.0,58324
104.0,58766
144.0,59366
5.0,59938
5.0,32816
5.0,56416
104.0,61716
144.0,61986
104.0,62042
1.0,62179
104.0,31004
104.0,39832
144.0,59592
144.0,62333
104.0,31184
5.0,35259
1.0,62501
144.0,62519
144.0,56295
104.0,56417
5.0,39914
144.0,56003
144.0,59006
144.0,56976
144.0,57679
104.0,59399
1.0,13121
144.0,62640
104.0,30923
104.0,58765
5.0,62479
144.0,59021
144.0,59119
104.0,60041
1.0,60101
5.0,32809
144.0,36995
5.0,39865
5.0,31245
5.0,32368
5.0,55346
144.0,56395
104.0,31383
144.0,57836
1.0,58019
144.0,59104
104.0,57579
5.0,31423
1.0,59581
144.0,32741
104.0,34919
5.0,57555
104.0,31104
1.0,59462
104.0,62082
144.0,62386
5.0,31323
104.0,62191
104.0,36484
144.0,40612
5.0,55555
144.0,57255
104.0,58159
104.0,59584
1.0,34655
104.0,36525
1.0,59344
104.0,39332
5.0,31244
5.0,33575
104.0,39183
144.0,29833
144.0,29830
144.0,28030
144.0,36977
144.0,30037
144.0,30021
144.0,30019
144.0,30040
144.0,29987
104.0,40541
144.0,29989
5.0,36552
144.0,36930
144.0,40772
104.0,40827
104.0,55971
104.0,56856
104.0,55941
144.0,56001
144.0,57578
5.0,57619
5.0,57043
5.0,39786
144.0,57781
5.0,11628
104.0,57716
104.0,57735
144.0,58433
5.0,58342
1.0,58300
144.0,58737
104.0,58071
104.0,58072
144.0,27615
144.0,58897
104.0,59760
144.0,59762
5.0,59921
144.0,60062
5.0,56278
104.0,59822
104.0,61339
1.0,61543
5.0,61676
144.0,61888
144.0,61859
104.0,58124
144.0,61778
5.0,61980
104.0,57902
1.0,57635
104.0,58377
5.0,59120
144.0,61387
2.0,61387
5.0,59106
104.0,62080
5.0,62189
5.0,62188
144.0,62306
104.0,61555
104.0,62309
1.0,62382
144.0,62385
104.0,62325
144.0,62387
5.0,62459
144.0,62384
144.0,10138
2.0,10138
144.0,62499
104.0,62622
5.0,10674
2.0,10674
144.0,10150
144.0,10674
144.0,27313
144.0,29867
144.0,27073
144.0,27194
144.0,29891
144.0,29892
144.0,29871
144.0,29875
144.0,29908
144.0,29947
144.0,29898
144.0,29905
